,index,incident_id,incident_date,state,city_county,street_address,killed,injured,full_address,lat,long
208,208,1687027,23-May-20,South Carolina,Jonesville,100  Dover Rd,2,5,"100  Dover Rd, Jonesville South Carolina",34.8210742,-81.6329696
209,209,1687108,23-May-20,North Carolina,Charlotte,4900 Block of Albemarle Rd,0,6,"4900 Block of Albemarle Rd, Charlotte North Carolina",35.1998388,-80.76459
210,210,1687097,23-May-20,Michigan,Flint,4100  Minerva St,1,3,"4100  Minerva St, Flint Michigan",43.0634612,-83.7430129
211,211,1686414,23-May-20,Florida,Fort Lauderdale (Lauderhill),7776 NW 44th St,0,5,"7776 NW 44th St, Fort Lauderdale (Lauderhill) Florida",26.1781929,-80.253374
212,212,1682233,17-May-20,South Carolina,Saint Matthews,100  Bugleflower Ln,4,1,"100  Bugleflower Ln, Saint Matthews South Carolina",33.6301905,-80.7822086
213,213,1681588,16-May-20,Louisiana,Bogalusa,Martin Luther King Dr and E 4th St,0,13,"Martin Luther King Dr and E 4th St, Bogalusa Louisiana",30.7751835,-89.853297
214,214,1677566,11-May-20,Alabama,Montgomery,Rosa Parks Ave and Courtland Dr,0,4,"Rosa Parks Ave and Courtland Dr, Montgomery Alabama",32.349302,-86.316546
215,215,1676746,10-May-20,Texas,Katy,18000  Bonners Park Cir,0,6,"18000  Bonners Park Cir, Katy Texas",29.856645,-95.6967137
216,216,1674299,6-May-20,Tennessee,Memphis,Barron Ave and Dogwood Dr,2,2,"Barron Ave and Dogwood Dr, Memphis Tennessee",35.0966127,-89.9296823
217,217,1666327,25-Apr-20,Florida,Orlando,Elese St and Deerock Dr,1,4,"Elese St and Deerock Dr, Orlando Florida",28.5265572,-81.4466191
218,218,1661537,18-Apr-20,Maryland,Hyattsville,7500  Courtney Pl,2,2,"7500  Courtney Pl, Hyattsville Maryland",38.898815,-76.8757752
219,219,1659862,16-Apr-20,Pennsylvania,Philadelphia,Bustleton Ave and St Vincent St,0,4,"Bustleton Ave and St Vincent St, Philadelphia Pennsylvania",40.045362,-75.0607096
220,220,1656873,11-Apr-20,California,Bakersfield,Pioneer Rd and Sterling Rd,0,6,"Pioneer Rd and Sterling Rd, Bakersfield California",35.368647,-118.941538
221,221,1654971,8-Apr-20,South Carolina,Greenwood,1522 Parkway,1,3,"1522 Parkway, Greenwood South Carolina",34.16941,-82.160327
222,222,1652734,5-Apr-20,California,Los Angeles,89th St and Hobart Ave,1,3,"89th St and Hobart Ave, Los Angeles California",33.956343,-118.3079038
223,223,1648205,29-Mar-20,Georgia,Atlanta,Ponce de Leon Ave and Parkway Dr,0,4,"Ponce de Leon Ave and Parkway Dr, Atlanta Georgia",33.7731553,-84.3728041
224,224,1640295,15-Mar-20,North Carolina,Moncure,842 Moncure Flatwood Rd,7,0,"842 Moncure Flatwood Rd, Moncure North Carolina",35.5878396,-79.0153917
225,225,1640278,13-Mar-20,Louisiana,New Orleans (Algiers),Wagner St and Hero Blvd,0,5,"Wagner St and Hero Blvd, New Orleans (Algiers) Louisiana",29.9329005,-90.04054
226,226,1631831,29-Feb-20,Colorado,Brighton,Starr Ln and County Rd 2,0,5,"Starr Ln and County Rd 2, Brighton Colorado",40.0004368,-104.7844184
227,227,1627335,23-Feb-20,North Carolina,Clarkton,71 Tina Ln,3,1,"71 Tina Ln, Clarkton North Carolina",34.498959,-78.68111
228,228,1625787,20-Feb-20,North Carolina,Greensboro,Martin Luther King Jr Ave and Randolph Dr,0,4,"Martin Luther King Jr Ave and Randolph Dr, Greensboro North Carolina",36.0561859,-79.7844968
229,229,1623696,17-Feb-20,Mississippi,Port Gibson,8027 Hwy 61,2,2,"8027 Hwy 61, Port Gibson Mississippi",31.8874934,-91.0026843
230,230,1611563,31-Jan-20,California,Delano,Hiett Ave and County Line Rd,1,4,"Hiett Ave and County Line Rd, Delano California",35.790406,-119.267666
231,231,1605770,26-Jan-20,North Carolina,Salisbury,1935 Jake Alexander Blvd,0,6,"1935 Jake Alexander Blvd, Salisbury North Carolina",35.6915509,-80.5151924
232,232,1606476,24-Jan-20,North Carolina,Vanceboro,107 Kinshaw Ct,5,0,"107 Kinshaw Ct, Vanceboro North Carolina",35.2336064,-77.1105146
233,233,2125227,25-Sep-21,California,Riverside,6000 Block of Mariposa Ave,0,6,"6000 Block of Mariposa Ave, Riverside California",33.9208858,-117.4643502
234,234,2125444,25-Sep-21,Tennessee,Athens,Co Rd 60,4,0,"Co Rd 60, Athens Tennessee",35.4212763,-84.7425888
235,235,2123301,23-Sep-21,Pennsylvania,Philadelphia,38th St and Aspen St,0,4,"38th St and Aspen St, Philadelphia Pennsylvania",39.9668134,-75.1980406
236,236,2122565,22-Sep-21,North Carolina,Fayetteville,1100  Charlie Dr,2,2,"1100  Charlie Dr, Fayetteville North Carolina",35.1134875,-78.9350238
237,237,2120940,20-Sep-21,Pennsylvania,Philadelphia,Broad St and Chew Ave,1,5,"Broad St and Chew Ave, Philadelphia Pennsylvania",40.0398311,-75.1444483
238,238,2119745,19-Sep-21,Texas,Dallas,100  N Malcolm X Blvd,2,4,"100  N Malcolm X Blvd, Dallas Texas",32.784183,-96.7821508
239,239,2119470,18-Sep-21,New York,Bronx,Teller Ave and E 172nd St,1,3,"Teller Ave and E 172nd St, Bronx New York",40.8399051,-73.9090368
