Incident ID,State,City Or County,Address,# Killed,# Injured,Full_Address,Latitude,Longitude,Date,Year
1691440,Pennsylvania,Philadelphia,300  N 55th St,1,3,"300  N 55th St, Philadelphia Pennsylvania",39.965486,-75.230002,May 28, 2020
1690369,Massachusetts,Boston,5 Ames St,1,4,"5 Ames St, Boston Massachusetts",42.29051973022516,-71.08656634127814,May 27, 2020
1690524,Ohio,Cleveland,12800 Euclid Ave,1,3,"12800 Euclid Ave, Cleveland Ohio",41.5618381,-81.5435014,May 27, 2020
1690439,California,San Jose,1100  William Ct,0,5,"1100  William Ct, San Jose California",37.341383,-121.862117,May 27, 2020
1689419,Pennsylvania,Philadelphia,1800  Hart Ln,0,4,"1800  Hart Ln, Philadelphia Pennsylvania",39.991852,-75.121559,May 27, 2020
1688610,Mississippi,Vicksburg,4045 Clay St,0,4,"4045 Clay St, Vicksburg Mississippi",32.34388044532813,-90.8382052866988,May 26, 2020
1687999,Louisiana,Lake Charles,6780 US-90,0,6,"6780 US-90, Lake Charles Louisiana",30.235765,-93.211348,May 25, 2020
1686222,Texas,Houston,2900 Travis St,0,4,"2900 Travis St, Houston Texas",29.7436386,-95.3771975,May 23, 2020
1686747,Florida,Daytona Beach,13 S Atlantic Ave,0,6,"13 S Atlantic Ave, Daytona Beach Florida",29.22645540815455,-81.00792014110364,May 23, 2020
1686685,Illinois,Chicago,3911 W Grenshaw St,1,3,"3911 W Grenshaw St, Chicago Illinois",41.866884,-87.72328964283832,May 23, 2020
1687381,Mississippi,Jackson,2300  Oakhurst Dr,1,4,"2300  Oakhurst Dr, Jackson Mississippi",32.276406,-90.218735,May 23, 2020
1686015,Ohio,Cleveland,11921 Miles Ave,1,3,"11921 Miles Ave, Cleveland Ohio",41.44516866666667,-81.60007983333333,May 22, 2020
1683810,Texas,Houston,6918 Landor St,2,3,"6918 Landor St, Houston Texas",29.83020337593985,-95.30436089473685,May 20, 2020
1683653,Illinois,Decatur,300  West Leafland Ave,0,5,"300  West Leafland Ave, Decatur Illinois",39.853622,-88.959289,May 19, 2020
1682322,California,Bakersfield,901 W Columbus St,0,5,"901 W Columbus St, Bakersfield California",35.39806473825503,-119.0120047181208,May 18, 2020
1681602,South Carolina,Charleston,23 Cannon St,0,4,"23 Cannon St, Charleston South Carolina",32.791493122448976,-79.94275124489795,May 17, 2020
1681887,Maryland,District Heights,6800  Atwood St,1,3,"6800  Atwood St, District Heights Maryland",38.8617687,-76.8907335,May 17, 2020
1686369,Florida,Gainesville,2305 SE Hawthorne Rd,0,5,"2305 SE Hawthorne Rd, Gainesville Florida",29.6506205,-82.3047189,May 15, 2020
1850080,Pennsylvania,Philadelphia,4300  Germantown Ave,0,4,"4300  Germantown Ave, Philadelphia Pennsylvania",40.0194688,-75.1560664,May 15, 2020
1680027,New Mexico,Albuquerque,820 Louisiana SE,0,5,"820 Louisiana SE, Albuquerque New Mexico",35.079933,-106.5685844,May 14, 2020
